income_expenditure_difference,income,working_agency,total_expenses,type_of_residence,bank_product,total_income,loan_term,salary_allowance,number_of_products_in_use,casa_balance,customer_segment,marital_status,number_of_dependents,age,term_deposit_balance,educational_level,insurance,position,number_of_non_credit_products,housing,debt_repayment_source,work_tenure,bank_debt_balance,number_of_banks_with_outstanding_debt,loan_amount,expected_loan_interest,labor_contract,duration_of_relationship_with_the_bank,proposed_term,economic_sector,debt_group_information,overdue_history,result,event_timestamp,id
72000000.0,77000000.0,cq hanh chi su nghiep,5000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,77000000.0,12.0,22000000.0,0,94249.0,khach hang cap 1,da ket hon,0,55,0.0,dai hoc,nhieu hon 1 loai bao hiem,lanh dao cao cap,4,so huu toan bo,luong va nguon khac,444.0,200000000.0,0,200000000.0,0.0,"cong chuc, vien chuc",1,12.0,van phong,khong co du no,khong co quan he tin dung,AA-,2024-04-19 18:29:54.409172+00:00,22
526530.0,9759863.0,cq hanh chi su nghiep,9233333.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,9759863.0,60.0,6759863.0,0,42881.0,khach hang cap 1,da ket hon,1,31,0.0,dai hoc,nhieu hon 1 loai bao hiem,nhan vien,3,so huu toan bo,luong,60.0,80000000.0,2,80000000.0,2233333.0,hop dong khong xac dinh thoi han,2,60.0,giao dich,chi co no nhom 1,da co quan he nhung chua tung qua han,A,2024-04-19 18:29:54.409172+00:00,23
8100000.0,19700000.0,cq hanh chi su nghiep,11600000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,19700000.0,36.0,19700000.0,1,26526881.0,khach hang cap 1,khac,0,50,0.0,dai hoc,nhieu hon 1 loai bao hiem,lanh dao phong,4,so huu toan bo,luong,300.0,100000000.0,0,100000000.0,3800000.0,hop dong khong xac dinh thoi han,1,36.0,nganh khac,khong co du no,da co quan he nhung chua tung qua han,AA-,2024-04-19 18:29:54.409172+00:00,24
4150000.0,5650000.0,doanh nghiep nhan nuoc tren 50% von dieu le,1500000.0,tam tru dai han,co tien gui ky han,5650000.0,0.0,5650000.0,0,168237.0,khach hang cap 1,doc than,0,26,16212256.0,dai hoc,khong co thong tin,lao dong don gian,5,so huu toan bo,luong va nguon khac,24.0,10000000.0,0,10000000.0,0.0,hop dong tu 12 den 36 thang,0,0.0,van phong,khong co du no,khong co quan he tin dung,AA+,2024-04-19 18:29:54.409172+00:00,25
6650000.0,21200000.0,cq hanh chi su nghiep,14550000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,21200000.0,36.0,13200000.0,0,42373656.0,khach hang cap 1,da ket hon,0,29,0.0,dai hoc,bao hien nhan tho,chuyen vien,5,so huu toan bo,luong,66.0,120000000.0,2,120000000.0,4550000.0,"cong chuc, vien chuc",2,36.0,nganh khac,chi co no nhom 1,da co quan he nhung chua tung qua han,A+,2024-04-19 18:29:54.409172+00:00,26
43446565.0,48446565.0,doanh nghiep nhan nuoc tren 50% von dieu le,5000000.0,ho khau thuong tru,co tien gui ky han,48446565.0,12.0,48446565.0,0,15231032.0,khach hang cap 5,da ket hon,1,46,631839195.0,dai hoc,nhieu hon 1 loai bao hiem,lanh dao cao cap,4,so huu toan bo,luong va nguon khac,240.0,200000000.0,1,200000000.0,0.0,"cong chuc, vien chuc",0,12.0,nganh khac,khong co du no,da co quan he nhung chua tung qua han,AAA,2024-04-19 18:29:54.409172+00:00,27
40000000.0,45000000.0,cq hanh chi su nghiep,5000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,45000000.0,12.0,25000000.0,0,778347.0,khach hang cap 1,doc than,0,38,0.0,dai hoc,nhieu hon 1 loai bao hiem,lanh dao cao cap,0,so huu toan bo,luong va loi nhuan tu kinh doanh,144.0,100000000.0,0,100000000.0,0.0,"cong chuc, vien chuc",0,12.0,van phong,khong co du no,khong co quan he tin dung,AA+,2024-04-19 18:29:54.409172+00:00,28
7203944.67,11203944.67,cq hanh chi su nghiep,4000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,11203944.67,12.0,3203944.67,0,11936144.0,khach hang cap 1,da ket hon,2,52,0.0,dai hoc,bao hiem khac,lanh dao phong,4,so huu toan bo,luong,372.0,50000000.0,0,50000000.0,0.0,"cong chuc, vien chuc",3,12.0,van phong,khong co du no,da co quan he nhung chua tung qua han,A+,2024-04-19 18:29:54.409172+00:00,29
14500000.0,18000000.0,cq hanh chi su nghiep,3500000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,18000000.0,60.0,18000000.0,0,66905622.0,khach hang cap 1,da ket hon,0,42,0.0,dai hoc,bao hiem khac,lanh dao phong,5,so huu toan bo,luong,264.0,200000000.0,0,200000000.0,0.0,hop dong khong xac dinh thoi han,0,60.0,y te,khong co du no,khong co quan he tin dung,AA,2024-04-19 18:29:54.409172+00:00,30
20643768.0,28013768.0,cq hanh chi su nghiep,7370000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,28013768.0,84.0,13013768.0,1,3634353.0,khach hang cap 2,da ket hon,0,38,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,6,so huu toan bo,hon hop,190.0,130000000.0,0,130000000.0,0.0,"cong chuc, vien chuc",8,84.0,van phong,khong co du no,khong co quan he tin dung,AA+,2024-04-19 18:29:54.409172+00:00,31
11200000.0,17800000.0,cq hanh chi su nghiep,6600000.0,tam tru dai han,co tien gui thanh toan hoac sp khac,17800000.0,84.0,12800000.0,0,8075230.0,khach hang cap 1,da ket hon,0,37,0.0,dai hoc,khong co thong tin,chuyen vien,5,so huu toan bo,luong va nguon khac,162.0,200000000.0,2,200000000.0,0.0,hop dong khong xac dinh thoi han,2011,84.0,van phong,chi co no nhom 1,da co quan he nhung chua tung qua han,A-,2024-04-19 18:29:54.409172+00:00,32
33758233.0,79158233.0,doanh nghiep nha nuoc duoi 50% von dieu le,45400000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,79158233.0,12.0,79158233.0,0,14398576.0,khach hang cap 1,doc than,0,46,0.0,dai hoc,nhieu hon 1 loai bao hiem,lanh dao cao cap,0,so huu toan bo,luong,12.0,200000000.0,3,200000000.0,1500000.0,hop dong khong xac dinh thoi han,0,12.0,van phong,chi co no nhom 1,da co quan he nhung chua tung qua han,BBB,2024-04-19 18:29:54.409172+00:00,33
-500000.0,20000000.0,doanh nghiep tu nhan,20500000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,20000000.0,0.0,20000000.0,0,4438.0,khach hang cap 1,da ket hon,0,39,0.0,dai hoc,bao hiem khac,chuyen vien,3,so huu toan bo,luong,12.0,30000000.0,2,30000000.0,0.0,hop dong tu 12 den 36 thang,0,0.0,van phong,chi co no nhom 1,da co quan he nhung chua tung qua han,B,2024-04-19 18:29:54.409172+00:00,34
2863108.0,9563108.0,cq hanh chi su nghiep,6700000.0,ho khau thuong tru,co tien gui ky han,9563108.0,12.0,9563108.0,1,163902.0,khach hang cap 1,da ket hon,0,49,38000000.0,dai hoc,bao hien nhan tho,chuyen vien,5,so huu toan bo,luong,175.0,40000000.0,1,40000000.0,0.0,hop dong khong xac dinh thoi han,2,12.0,giao dich,chi co no nhom 1,da co quan he nhung chua tung qua han,AA-,2024-04-19 18:29:54.409172+00:00,35
